"Código do Município";"Município";"Estado";"Ano de Referência";"Código do Prestador";"Prestador";"Sigla do Prestador";"Natureza Jurídica";"FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006)";"IN005 - Auto-suficiência financeira da prefeitura com o manejo de rsu"
260760;Ilha de Itamaracá;PE;2012;26076040;SECRETÁRIA DE INFRAESTRUTURA;SEINFRA;Administração pública direta;;;
260700;Inajá;PE;2013;26070040;Prefeitura Municipal de Inajá;PM;Empresa pública;;;
260710;Ingazeira;PE;2017;26071040;PREFEITURA MUNICIPAL DE INGAZEIRA;PMI;Administração pública direta;;;
260710;Ingazeira;PE;2011;26071040;PREFEITURA MUNICIPAL DE INGAZEIRA;PMI;Administração pública direta;2.500,00;1,35;
260710;Ingazeira;PE;2010;26071040;PREFEITURA MUNICIPAL DE INGAZEIRA;PMI;Administração pública direta;2.600,00;1,39;
260710;Ingazeira;PE;2009;26071040;PREFEITURA MUNICIPAL DE INGAZEIRA;PMI;Administração pública direta;2.340,00;1,38;
260720;Ipojuca;PE;2016;26072040;Secretaria de Infraestrutura e Serviço Municpais;SEINFRA;Administração pública direta;2.087.409,56;12,02;
260720;Ipojuca;PE;2015;26072040;Secretaria de Infraestrutura e Serviço Municpais;SEINFRA;Administração pública direta;2.087.409,56;11,81;
260720;Ipojuca;PE;2014;26072040;Secretaria de Infraestrutura e Serviço Municpais;SEINFRA;Administração pública direta;1.739.405,62;9,68;
260720;Ipojuca;PE;2013;26072040;Secretaria de Infraestrutura e Serviço Municpais;SEINFRA;Administração pública direta;;;
260720;Ipojuca;PE;2012;26072040;Secretaria de Infraestrutura e Serviço Municpais;SEINFRA;Administração pública direta;;;
260720;Ipojuca;PE;2008;26072040;Secretaria de Infraestrutura e Serviço Municpais;SEINFRA;Administração pública direta;;;
260730;Ipubi;PE;2009;26073040;Prefeitura Municipal de Ipubi;PMI;Administração pública direta;0,00;0,00;
260740;Itacuruba;PE;2016;26074040;prefeitura municipal de itacuruba;PMI;Administração pública direta;;;
260740;Itacuruba;PE;2014;26074040;prefeitura municipal de itacuruba;PMI;Administração pública direta;;;
260740;Itacuruba;PE;2013;26074040;prefeitura municipal de itacuruba;PMI;Administração pública direta;;;
260740;Itacuruba;PE;2012;26074040;prefeitura municipal de itacuruba;PMI;Administração pública direta;;;
260750;Itaíba;PE;2016;26075040;Prefeitura Municipal de Itaíba;PMI;Administração pública direta;;;
260750;Itaíba;PE;2015;26075040;Prefeitura Municipal de Itaíba;PMI;Administração pública direta;;;
260750;Itaíba;PE;2014;26075040;Prefeitura Municipal de Itaíba;PMI;Administração pública direta;204.000,00;;
260765;Itambé;PE;2017;26076540;PREFEUTURA MUNICIPAL DE ITAMBE;PMI;Administração pública direta;;;
260765;Itambé;PE;2016;26076540;PREFEUTURA MUNICIPAL DE ITAMBE;PMI;Administração pública direta;;;
260765;Itambé;PE;2011;26076540;PREFEUTURA MUNICIPAL DE ITAMBE;PMI;Administração pública direta;;;
260765;Itambé;PE;2009;26076540;PREFEUTURA MUNICIPAL DE ITAMBE;PMI;Administração pública direta;0,00;0,00;
260770;Itapetim;PE;2017;26077040;Prefeitura Municipal de Itapetim;PMI;Administração pública direta;;;
260770;Itapetim;PE;2016;26077040;Prefeitura Municipal de Itapetim;PMI;Administração pública direta;;;
260770;Itapetim;PE;2015;26077040;Prefeitura Municipal de Itapetim;PMI;Administração pública direta;;;
260770;Itapetim;PE;2014;26077040;Prefeitura Municipal de Itapetim;PMI;Administração pública direta;150.000,00;16,92;
260770;Itapetim;PE;2013;26077040;Prefeitura Municipal de Itapetim;PMI;Administração pública direta;35.000,00;2,85;
260775;Itapissuma;PE;2017;26077540;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;SOSU;Sociedade de economia mista com administração pública;5.693,83;0,23;
260775;Itapissuma;PE;2016;26077540;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;SOSU;Administração pública direta;500,00;0,03;
260775;Itapissuma;PE;2015;26077540;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;SOSU;Administração pública direta;;;
260775;Itapissuma;PE;2014;26077540;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;SOSU;Administração pública direta;111.491,89;6,33;
260775;Itapissuma;PE;2011;26077540;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;SOSU;Empresa pública;;;
260775;Itapissuma;PE;2003;26077540;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;SOSU;Administração pública direta;;;
260775;Itapissuma;PE;2002;26077540;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;SOSU;Administração pública direta;;;
260780;Itaquitinga;PE;2014;26078040;prefeitura municipal de itaquitinga;PMI;Administração pública direta;;;
260780;Itaquitinga;PE;2013;26078040;prefeitura municipal de itaquitinga;PMI;Administração pública direta;;;
260780;Itaquitinga;PE;2012;26078040;prefeitura municipal de itaquitinga;PMI;Administração pública direta;;;
260790;Jaboatão dos Guararapes;PE;2017;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;14.945.811,00;27,70;
260790;Jaboatão dos Guararapes;PE;2016;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;11.913.685,80;23,70;
260790;Jaboatão dos Guararapes;PE;2015;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;12.763.405,38;28,92;
260790;Jaboatão dos Guararapes;PE;2014;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;11.037.498,13;;
260790;Jaboatão dos Guararapes;PE;2013;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;;;
260790;Jaboatão dos Guararapes;PE;2012;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;;;
260790;Jaboatão dos Guararapes;PE;2011;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;6.955.618,78;;
260790;Jaboatão dos Guararapes;PE;2010;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;6.043.015,08;20,72;
260790;Jaboatão dos Guararapes;PE;2008;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Empresa pública;;;
260790;Jaboatão dos Guararapes;PE;2007;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Empresa pública;;;
260790;Jaboatão dos Guararapes;PE;2002;26079040;SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS;SESURB;Administração pública direta;1.348.023,00;10,19;
260800;Jataúba;PE;2014;26080040;Prefeitua Municpal de Jataúba;PMJ;Administração pública direta;;;
260800;Jataúba;PE;2013;26080040;Prefeitua Municpal de Jataúba;PMJ;Administração pública direta;;;
260800;Jataúba;PE;2012;26080040;Prefeitua Municpal de Jataúba;PMJ;Administração pública direta;;;
260805;Jatobá;PE;2016;26080540;Prefeitura Municipal de Jatobá;PMJ;Administração pública direta;;;
260805;Jatobá;PE;2015;26080540;Prefeitura Municipal de Jatobá;PMJ;Administração pública direta;;;
260805;Jatobá;PE;2014;26080540;Prefeitura Municipal de Jatobá;PMJ;Administração pública direta;;;
260805;Jatobá;PE;2013;26080540;Prefeitura Municipal de Jatobá;PMJ;Administração pública direta;;;
260805;Jatobá;PE;2012;26080540;Prefeitura Municipal de Jatobá;PMJ;Administração pública direta;;;
260805;Jatobá;PE;2011;26080540;Prefeitura Municipal de Jatobá;PMJ;Administração pública direta;;;
260805;Jatobá;PE;2010;26080540;Prefeitura Municipal de Jatobá;PMJ;Administração pública direta;;;
260810;João Alfredo;PE;2016;26081040;PREFEITURA MUNICIPAL DE JOÃO ALFREDO;PMJA;Administração pública direta;;;
260810;João Alfredo;PE;2012;26081040;PREFEITURA MUNICIPAL DE JOÃO ALFREDO;PMJA;Administração pública direta;;;
260820;Joaquim Nabuco;PE;2015;26082040;Prefeitura Municipal de Joaquim Nabuco;PMJN;Administração pública direta;;;
260820;Joaquim Nabuco;PE;2013;26082040;Prefeitura Municipal de Joaquim Nabuco;PMJN;Administração pública direta;;;
260825;Jucati;PE;2016;26082540;Prefeitura Municipal de Jucati;PMJ;Administração pública direta;;;
260825;Jucati;PE;2015;26082540;Prefeitura Municipal de Jucati;PMJ;Administração pública direta;;;
260825;Jucati;PE;2014;26082540;Prefeitura Municipal de Jucati;PMJ;Administração pública direta;;;
260840;Jurema;PE;2016;26084040;Prefeitura Municipal de Jurema;PMJ;Administração pública direta;;;
260840;Jurema;PE;2015;26084040;Prefeitura Municipal de Jurema;PMJ;Administração pública direta;;;
260840;Jurema;PE;2013;26084040;Prefeitura Municipal de Jurema;PMJ;Administração pública direta;;;
260840;Jurema;PE;2012;26084040;Prefeitura Municipal de Jurema;PMJ;Administração pública direta;;;
260845;Lagoa do Carro;PE;2017;26084540;Prefeitura Municipal de Lagoa do Carro;PMLC;Administração pública direta;;;
260845;Lagoa do Carro;PE;2016;26084540;Prefeitura Municipal de Lagoa do Carro;PMLC;Administração pública direta;;;
260860;Lagoa do Ouro;PE;2016;26086040;SECRETARIA DE OBRAS E URBANISMO;SOU;Administração pública direta;;;
260860;Lagoa do Ouro;PE;2015;26086040;SECRETARIA DE OBRAS E URBANISMO;SOU;Administração pública direta;;;
260860;Lagoa do Ouro;PE;2014;26086040;SECRETARIA DE OBRAS E URBANISMO;SOU;Administração pública direta;;;
260860;Lagoa do Ouro;PE;2010;26086040;SECRETARIA DE OBRAS E URBANISMO;SOU;Administração pública direta;;;
260875;Lagoa Grande;PE;2017;26087540;PREFEITURA MUNICIPAL DE LAGOA GRANDE;PMLG/SEIMA;Administração pública direta;;;
260875;Lagoa Grande;PE;2016;26087540;PREFEITURA MUNICIPAL DE LAGOA GRANDE;PMLG/SEIMA;Administração pública direta;;;
260875;Lagoa Grande;PE;2015;26087540;PREFEITURA MUNICIPAL DE LAGOA GRANDE;PMLG/SEIMA;Administração pública direta;;;
260875;Lagoa Grande;PE;2014;26087540;PREFEITURA MUNICIPAL DE LAGOA GRANDE;SEIMA;Administração pública direta;;;
260875;Lagoa Grande;PE;2011;26087540;PREFEITURA MUNICIPAL DE LAGOA GRANDE;SEIMA;Administração pública direta;;;
260875;Lagoa Grande;PE;2010;26087540;PREFEITURA MUNICIPAL DE LAGOA GRANDE;SEIMA;Administração pública direta;0,00;;
260880;Lajedo;PE;2017;26088040;Prefeitura Municipal de Lajedo;PML;Administração pública direta;;;
260880;Lajedo;PE;2010;26088040;Prefeitura Municipal de Lajedo;PML;Administração pública direta;;;
260890;Limoeiro;PE;2014;26089040;PREFEITURA MUNICIPAL DE LIMOEIRO;PML;Administração pública direta;;;
260890;Limoeiro;PE;2013;26089040;PREFEITURA MUNICIPAL DE LIMOEIRO;PML;Administração pública direta;;;
260890;Limoeiro;PE;2012;26089040;PREFEITURA MUNICIPAL DE LIMOEIRO;PML;Administração pública direta;;;
260900;Macaparana;PE;2017;26090040;Prefeitura Municipal de Macaparana;PMM;Administração pública direta;;;
260900;Macaparana;PE;2016;26090040;Prefeitura Municipal de Macaparana;PMM;Administração pública direta;;;
260900;Macaparana;PE;2015;26090040;Prefeitura Municipal de Macaparana;PMM;Administração pública direta;;;
260900;Macaparana;PE;2014;26090040;Prefeitura Municipal de Macaparana;PMM;Administração pública direta;;;
260910;Machados;PE;2017;26091040;Prefeitura Municipal de Machados;PMM;Administração pública direta;;;
260910;Machados;PE;2016;26091040;Prefeitura Municipal de Machados;PMM;Administração pública direta;;;
260915;Manari;PE;2014;26091540;Prefeitura Municipal de Manari;PM;Administração pública direta;;;
260920;Maraial;PE;2015;26092040;Secretaria de Infra Estrutura de Maraial;SECIEM;Administração pública direta;;;
260920;Maraial;PE;2014;26092040;Secretaria de Infra Estrutura de Maraial;SECIEM;Administração pública direta;;;
260920;Maraial;PE;2013;26092040;Secretaria de Infra Estrutura de Maraial;SECIEM;Administração pública direta;;;
260920;Maraial;PE;2012;26092040;Secretaria de Infra Estrutura de Maraial;SECIEM;Administração pública direta;;;
260920;Maraial;PE;2011;26092040;Secretaria de Infra Estrutura de Maraial;SECIEM;Administração pública direta;1.402,98;;
260920;Maraial;PE;2009;26092040;Secretaria de Infra Estrutura de Maraial;SECIEM;Administração pública direta;0,00;0,00;
260930;Mirandiba;PE;2015;26093040;Prefeitura Municipal Mirandiba - PE;PMM;Administração pública direta;;;
260930;Mirandiba;PE;2014;26093040;Prefeitura Municipal Mirandiba - PE;PMM;Administração pública direta;;;
260930;Mirandiba;PE;2013;26093040;Prefeitura Municipal Mirandiba - PE;PMM;Administração pública direta;;;
260930;Mirandiba;PE;2012;26093040;Prefeitura Municipal Mirandiba - PE;PMM;Administração pública direta;;;
260930;Mirandiba;PE;2011;26093040;Prefeitura Municipal Mirandiba - PE;PMM;Administração pública direta;;;
260930;Mirandiba;PE;2010;26093040;Prefeitura Municipal Mirandiba - PE;PMM;Administração pública direta;;;
261430;Moreilândia;PE;2017;26143040;Prefeitura Municipal de Moreilândia;PMM;Administração pública direta;;;
261430;Moreilândia;PE;2016;26143040;Prefeitura Municipal de Moreilândia;PMM;Administração pública direta;;;
260940;Moreno;PE;2017;26094040;Prefeitura Municipal do Moreno;PMM;Administração pública direta;61.249,63;;
260940;Moreno;PE;2016;26094040;Prefeitura Municipal do Moreno;PMM;Administração pública direta;61.249,63;;
260940;Moreno;PE;2015;26094040;Prefeitura Municipal do Moreno;PMM;Administração pública direta;80.000,00;3,82;
260940;Moreno;PE;2014;26094040;Prefeitura Municipal do Moreno;PMM;Administração pública direta;;;
260940;Moreno;PE;2010;26094040;Prefeitura Municipal do Moreno;PMM;Administração pública direta;;;
260950;Nazaré da Mata;PE;2015;26095040;Prefeitura Municipal de Nazaré da Mata;PMNM;Administração pública direta;;;
260950;Nazaré da Mata;PE;2014;26095040;Prefeitura Municipal de Nazaré da Mata;PMNM;Administração pública direta;;;
260950;Nazaré da Mata;PE;2013;26095040;Prefeitura Municipal de Nazaré da Mata;PMNM;Administração pública direta;;;
260950;Nazaré da Mata;PE;2012;26095040;Prefeitura Municipal de Nazaré da Mata;PMNM;Administração pública direta;;;
260950;Nazaré da Mata;PE;2011;26095040;Prefeitura Municipal de Nazaré da Mata;PMNM;Administração pública direta;;;
260950;Nazaré da Mata;PE;2010;26095040;Prefeitura Municipal de Nazaré da Mata;PMNM;Administração pública direta;;;
260960;Olinda;PE;2017;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;;;
260960;Olinda;PE;2016;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;;;
260960;Olinda;PE;2015;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;;;
260960;Olinda;PE;2014;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;;;
260960;Olinda;PE;2012;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;;;
260960;Olinda;PE;2011;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;;;
260960;Olinda;PE;2010;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;6.311.366,60;51,27;
260960;Olinda;PE;2009;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;4.988.549,52;30,64;
260960;Olinda;PE;2008;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;4.988.549,52;33,48;
260960;Olinda;PE;2003;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;2.679.745,80;26,67;
260960;Olinda;PE;2002;26096040;SECRETARIA DE SERVIÇOS PÚBLICOS DE OLINDA;SSP;Administração pública direta;2.640.143,74;28,29;
260970;Orobó;PE;2017;26097040;PREFEITURA;PMO;Administração pública direta;15.174,83;1,10;
260970;Orobó;PE;2016;26097040;PREFEITURA;PMO;Administração pública direta;;;
260970;Orobó;PE;2015;26097040;PREFEITURA;PMO;Administração pública direta;;;
260970;Orobó;PE;2012;26097040;PREFEITURA;PMO;Administração pública direta;;;
260970;Orobó;PE;2011;26097040;PREFEITURA;PMO;Administração pública direta;;;
260980;Orocó;PE;2017;26098040;Prefeitura Municipal de Orocó;PMO;Administração pública direta;;;
260980;Orocó;PE;2016;26098040;Prefeitura Municipal de Orocó;PMO;Administração pública direta;;;
260980;Orocó;PE;2014;26098040;Prefeitura Municipal de Orocó;PMO;Administração pública direta;;;
260980;Orocó;PE;2013;26098040;Prefeitura Municipal de Orocó;PMO;Empresa pública;;;
260990;Ouricuri;PE;2015;26099040;PREFEITURA MUNICIPAL DE OURICURI;PMO;Administração pública direta;;;
260990;Ouricuri;PE;2014;26099040;PREFEITURA MUNICIPAL DE OURICURI;PMO;Administração pública direta;;;
260990;Ouricuri;PE;2013;26099040;PREFEITURA MUNICIPAL DE OURICURI;PMO;Administração pública direta;;;
260990;Ouricuri;PE;2012;26099040;PREFEITURA MUNICIPAL DE OURICURI;PMO;Administração pública direta;;;
261000;Palmares;PE;2012;26100040;Prefeitura Municipal de Palmares - Secretaria de Infraestrutura;SEINFRA;Administração pública direta;0,00;0;
261010;Palmeirina;PE;2016;26101040;Prefeitura Municipal de Palmeirina;PMP;Administração pública direta;;;
261010;Palmeirina;PE;2015;26101040;Prefeitura Municipal de Palmeirina;PMP;Administração pública direta;;;
261010;Palmeirina;PE;2014;26101040;Prefeitura Municipal de Palmeirina;PMP;Administração pública direta;;;
261010;Palmeirina;PE;2013;26101040;Prefeitura Municipal de Palmeirina;PMP;Administração pública direta;;;
261020;Panelas;PE;2017;26102040;Prefeitura Municipal de Panelas;PMP;Administração pública direta;;;
261020;Panelas;PE;2016;26102040;Prefeitura Municipal de Panelas;PMP;Administração pública direta;;;
261020;Panelas;PE;2015;26102040;Prefeitura Municipal de Panelas;PMP;Administração pública direta;;;
261020;Panelas;PE;2013;26102040;Prefeitura Municipal de Panelas;PMP;Administração pública direta;;;
261030;Paranatama;PE;2017;26103040;Prefeitura Municipal de Paranatama;PMP;Administração pública direta;;;
261030;Paranatama;PE;2016;26103040;Prefeitura Municipal de Paranatama;PMP;Administração pública direta;;;
261030;Paranatama;PE;2015;26103040;Prefeitura Municipal de Paranatama;PMP;Administração pública direta;;;
261030;Paranatama;PE;2014;26103040;Prefeitura Municipal de Paranatama;PMP;Administração pública direta;;;
261030;Paranatama;PE;2013;26103040;Prefeitura Municipal de Paranatama;PMP;Administração pública direta;;;
261040;Parnamirim;PE;2017;26104040;Prefeitura Municipal de Parnamirim;PMP;Administração pública direta;;;
261040;Parnamirim;PE;2016;26104040;Prefeitura Municipal de Parnamirim;PMP;Administração pública direta;;;
261040;Parnamirim;PE;2015;26104040;Prefeitura Municipal de Parnamirim;PMP;Administração pública direta;;;
261040;Parnamirim;PE;2014;26104040;Prefeitura Municipal de Parnamirim;PMP;Administração pública direta;;;
261050;Passira;PE;2014;26105040;Prefeitura Municipal de Passira;PMP;Administração pública direta;;;
261050;Passira;PE;2013;26105040;Prefeitura Municipal de Passira;PMP;Administração pública direta;;;
261060;Paudalho;PE;2017;26106040;Secretaria de Obras e Serviços Públicos;SEOSP;Administração pública direta;;;
261060;Paudalho;PE;2016;26106040;Secretaria de Obras e Serviços Públicos;SEOSP;Administração pública direta;;;
261060;Paudalho;PE;2015;26106040;Secretaria de Obras e Serviços Públicos;SEOSP;Administração pública direta;;;
261060;Paudalho;PE;2014;26106040;Secretaria de Obras e Serviços Públicos;SEOSP;Empresa pública;;;
261060;Paudalho;PE;2013;26106040;Secretaria de Obras e Serviços Públicos;SEOSP;Administração pública direta;;;
261060;Paudalho;PE;2012;26106040;Secretaria de Obras e Serviços Públicos;SEOSP;Administração pública direta;;;
261060;Paudalho;PE;2010;26106040;Secretaria de Obras e Serviços Públicos;SEOSP;Administração pública direta;0,00;0,00;
261070;Paulista;PE;2017;26107040;PREFEITURA MUNICIPAL DO PAULISTA;PAULISTA/PE;Administração pública direta;;;
261070;Paulista;PE;2016;26107040;PREFEITURA MUNICIPAL DO PAULISTA;PAULISTA/PE;Administração pública direta;;;
261070;Paulista;PE;2014;26107040;PREFEITURA MUNICIPAL DO PAULISTA;PAULISTA/PE;Administração pública direta;;;
261070;Paulista;PE;2013;26107040;PREFEITURA MUNICIPAL DO PAULISTA;PAULISTA/PE;Administração pública direta;;;
261070;Paulista;PE;2012;26107040;PREFEITURA MUNICIPAL DO PAULISTA;PAULISTA/PE;Administração pública direta;;;
261090;Pesqueira;PE;2017;26109040;Prefeitura Municipal de Pesqueira;PMP;Administração pública direta;6.268,09;;
261090;Pesqueira;PE;2016;26109040;Prefeitura Municipal de Pesqueira;PMP;Administração pública direta;;;
261090;Pesqueira;PE;2015;26109040;Prefeitura Municipal de Pesqueira;PMP;Empresa pública;;;
261090;Pesqueira;PE;2014;26109040;Prefeitura Municipal de Pesqueira;PMP;Administração pública direta;;;
261090;Pesqueira;PE;2013;26109040;Prefeitura Municipal de Pesqueira;PMP;Empresa pública;;;
261090;Pesqueira;PE;2010;26109040;Prefeitura Municipal de Pesqueira;PMP;Administração pública direta;350.000,00;27,06;
261100;Petrolândia;PE;2016;26110040;Prefeitura Municipal de Petrolândia;PMP;Administração pública direta;54.165,91;3,06;
261100;Petrolândia;PE;2015;26110040;Prefeitura Municipal de Petrolândia;PMP;Administração pública direta;1.200.000,00;98,44;
261100;Petrolândia;PE;2014;26110040;Prefeitura Municipal de Petrolândia;PMP;Administração pública direta;0,00;0;
261100;Petrolândia;PE;2013;26110040;Prefeitura Municipal de Petrolândia;PMP;Administração pública direta;36.921,27;;
261110;Petrolina;PE;2015;26111040;Prefeitura Municipal;PM;Administração pública direta;1.322.825,42;7,84;
261110;Petrolina;PE;2007;26111040;Prefeitura Municipal;PM;Administração pública direta;;;
261120;Poção;PE;2017;26112040;Prefeitura Municipal de Poção;PMP;Administração pública direta;;;
261140;Primavera;PE;2014;26114040;PREFEITURA MUNICIPAL DE PRIMAVERA;PMP;Administração pública direta;;;
261140;Primavera;PE;2011;26114040;PREFEITURA MUNICIPAL DE PRIMAVERA;PMP;Administração pública direta;6.224,96;;
261140;Primavera;PE;2010;26114040;PREFEITURA MUNICIPAL DE PRIMAVERA;PMP;Administração pública direta;3.031,20;0,71;
261150;Quipapá;PE;2016;26115040;Prefeitura Municipal de Quipapá;PMQ;Administração pública direta;;;
261150;Quipapá;PE;2014;26115040;Prefeitura Municipal de Quipapá;PMQ;Administração pública direta;;;
261150;Quipapá;PE;2013;26115040;Prefeitura Municipal de Quipapá;PMQ;Administração pública direta;;;
261153;Quixaba;PE;2017;26115340;Prefeitura Municipal de Quixaba;PMQ;Administração pública direta;;;
261153;Quixaba;PE;2016;26115340;Prefeitura Municipal de Quixaba;PMQ;Administração pública direta;;;
261153;Quixaba;PE;2010;26115340;Prefeitura Municipal de Quixaba;PMQ;Administração pública direta;17.800,00;7,42;
261153;Quixaba;PE;2009;26115340;Prefeitura Municipal de Quixaba;PMQ;Administração pública direta;15.362,60;8,52;
261160;Recife;PE;2017;26116040;Autarquia de Manutenção e Limpeza Urbana;EMLURB;Autarquia;181.353.125,86;74,63;
261160;Recife;PE;2016;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;109.638.871,74;46,40;
261160;Recife;PE;2015;26116040;Autarquia de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;101.674.631,00;42,82;
261160;Recife;PE;2014;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;92.555.632,80;35,93;
261160;Recife;PE;2013;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;940.483,10;0,42;
261160;Recife;PE;2012;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Sociedade de economia mista com administração pública;77.628.601,22;44,02;
261160;Recife;PE;2011;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;68.710.666,62;38,37;
261160;Recife;PE;2010;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;62.170.948,53;34,76;
261160;Recife;PE;2009;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;57.523.000,00;42,64;
261160;Recife;PE;2008;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;53.498.691,29;45,48;
261160;Recife;PE;2007;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;46.760.379,04;43,73;
261160;Recife;PE;2003;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;1.990.212,38;2,97;
261160;Recife;PE;2002;26116040;Empresa de Manutenção e Limpeza Urbana;EMLURB;Empresa pública;2.023.255,26;3,51;
261170;Riacho das Almas;PE;2017;26117040;Prefeitura Municipal de Riacho das Almas - Secretaria de Infraestutura;PMR;Administração pública direta;;;
261170;Riacho das Almas;PE;2014;26117040;Prefeitura Municipal de Riacho das Almas - Secretaria de Infraestutura;PMR;Administração pública direta;;;
261170;Riacho das Almas;PE;2013;26117040;Prefeitura Municipal de Riacho das Almas - Secretaria de Infraestutura;PMR;Administração pública direta;;;
261170;Riacho das Almas;PE;2012;26117040;Prefeitura Municipal de Riacho das Almas - Secretaria de Infraestutura;PMR;Administração pública direta;;;
261170;Riacho das Almas;PE;2010;26117040;Prefeitura Municipal de Riacho das Almas - Secretaria de Infraestutura;PMR;Administração pública direta;;;
261170;Riacho das Almas;PE;2009;26117040;Prefeitura Municipal de Riacho das Almas - Secretaria de Infraestutura;PMR;Administração pública direta;;;
261180;Ribeirão;PE;2012;26118040;Secretaria de Infra Estrutura;SIER;Administração pública direta;;;
261190;Rio Formoso;PE;2017;26119040;Secretaria Municipal de Serviços Públicos;pmrf;Administração pública direta;;;
261190;Rio Formoso;PE;2016;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Administração pública direta;;;
261190;Rio Formoso;PE;2015;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Empresa pública;25.000,00;3,16;
261190;Rio Formoso;PE;2014;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Administração pública direta;;;
261190;Rio Formoso;PE;2013;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Administração pública direta;1.595,30;0,10;
261190;Rio Formoso;PE;2012;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Administração pública direta;;;
261190;Rio Formoso;PE;2011;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Administração pública direta;;;
261190;Rio Formoso;PE;2010;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Empresa pública;;;
261190;Rio Formoso;PE;2009;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Administração pública direta;;;
261190;Rio Formoso;PE;2008;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Administração pública direta;;;
261190;Rio Formoso;PE;2007;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Administração pública direta;;;
261190;Rio Formoso;PE;2002;26119040;Robson Jerônimo Lins de Oliveira;pmrf;Empresa pública;12.059,74;3,59;
261200;Sairé;PE;2017;26120040;Prefeitura Municipal de Sairé;PMS;Administração pública direta;;;
261220;Salgueiro;PE;2017;26122040;PREFEITURA MUNICIPAL DO SALGUEIRO;PMS;Administração pública direta;;;
261220;Salgueiro;PE;2016;26122040;PREFEITURA MUNICIPAL DO SALGUEIRO;PMS;Administração pública direta;;;
261220;Salgueiro;PE;2015;26122040;PREFEITURA MUNICIPAL DO SALGUEIRO;PMS;Administração pública direta;74.741,00;1,82;
